feature,importance
No_of_Stations,0.11976735057500017
Magnitude_type_enc,0.08659645184141188
year,0.04925006273862757
stations_per_gap,0.03115287117850449
dist_from_center,0.030036298977574375
lon_rad,0.026454064861424577
Longitude(deg),0.025353380793184402
lon_bin,0.024705155746038918
Gap,0.022218435435719913
Close,0.02066014331784205
mag_rolling_mean_30,0.019106217022209476
log_time_since_prev,0.017506681703997204
Latitude(deg),0.017338369835192945
lat_rad,0.01677065560461034
mag_rolling_max_30,0.016233994913034375
Depth(km),0.016060271826598072
month_cos,0.01396441551368036
lat_bin,0.01381506577469851
mag_rolling_mean_5,0.013612269789876029
spatial_cell,0.013519469548447538
hour_cos,0.013382841132219195
log_depth,0.013365454243082938
hour_sin,0.013341903415743142
close_depth_interaction,0.013302209764039397
depth_rolling_mean_30,0.013217280621380747
mag_rolling_std_30,0.013147235623541136
mag_lag_1,0.012581845548435777
mag_rolling_mean_10,0.01234295483809385
month_sin,0.01233232134715301
dow_cos,0.012318344868862916
dow_sin,0.011899922614123802
mag_lag_3,0.011494728691753737
hour,0.011178059602768943
lat_lag_3,0.010796896975350318
day_of_week,0.010620448067354524
lon_lag_1,0.010179305591250203
depth_rolling_mean_10,0.010129361762421981
gap_close_ratio,0.010123122004880124
day_of_year,0.009953317796672304
lon_lag_2,0.009899351231283998
rms_log,0.00977690814412192
mag_rolling_max_10,0.009728714766699039
mag_lag_2,0.009602314664638128
lat_lag_2,0.009562224767103448
month,0.009550450892439527
lat_lag_1,0.00941022635400584
lon_lag_3,0.009293131924400674
mag_rolling_max_5,0.009238470209802228
depth_lag_1,0.009157530195863333
depth_lag_2,0.009153366520572378
mag_rolling_std_5,0.008937316682808606
mag_rolling_std_10,0.00892700279167328
RMS,0.008637254458715632
mag_diff_lag2_lag3,0.008552503680353266
depth_rolling_mean_5,0.008454334409242262
depth_lag_3,0.008306572076781924
time_since_prev,0.00817516140775887
mag_diff_lag1_lag2,0.008169215703970757
spatial_event_count_30,0.007638767610963549
